Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
P3,S416,9.76,9.61,0.66,20.69,0.71,89.8,53.8 ,1.67 ,688,5.2,3.74,1.46,CC1=C(F)C(F)=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=C(OCC(CCCCC)CCC)C=C(C)S3)S2)C4=NSN=C41,CCCCCCC(CCCC)Cc1cc(-c2c(F)c(F)c(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,46,100,689.0600000000019,4
P2,S416,6.88,6.72,0.6,18.04,0.65,86.3,56.8 ,1.52 ,670,5.13,3.76,1.37,CC1=CC(F)=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=C(OCC(CCCCC)CCC)C=C(C)S3)S2)C4=NSN=C41,CCCCCCC(CCCC)Cc1cc(-c2c(F)cc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,45,100,671.0700000000021,4
PCTTz,S141,0.71,0.71,0.76,2.27,0.41,111.8,43.0 ,2.60 ,628,5.46,3.56,2.11,CC1=C2C(N=C(CCCCCCCC)S2)=C(C3=CC=C(C4=CC=C(C)C=C4N5C(CCCCCC)CCCCCC)C5=C3)S1,CCCCCCCCc1nc2c(-c3ccc4c5ccc(C)cc5n(C(CCCCCC)CCCCCC)c4c3)sc(C)c2s1,44,100,629.0360000000024,5
PDDTT,S380,3.53,3.23,0.771,6.42,0.65,39.6,22.0 ,1.80 ,612,5.17,3.18,1.99,CC1=C(CCCCCCCCCCCC)C(CCCCCCCCCCCC)=C(C2=CC=C(C3=CC=C(C)S3)S2)S1,CCCCCCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCCCCCC,41,101,613.0990000000025,3
F12,S372,3.04,2.86,0.84,5.93,0.61,23.2,16.0 ,1.45 ,648,5.4,3.45,1.95,CC1=C(CCCCCCCCCCCC)C(CCCCCCCCCCCC)=C(C2=CC(F)=C(C3=C(F)C=C(C)S3)S2)S1,CCCCCCCCCCCCc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CCCCCCCCCCCC,43,101,649.0790000000022,3
PBDT-DTBTz,S213,2.88,2.88,0.77,7.87,0.48,40.0,15.0 ,2.10 ,737,5.26,3.29,1.97,CC1=CC2=C(C=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NN(C(CCCCCCCC)CCCCCCCC)N=C64)S3)S7)C7=C2)S1,CCCCCCCCC(CCCCCCCC)n1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5cc6sc(C)cc6cc5s4)s3)c2n1,50,101,738.170000000002,7
P3,S367,1.33,1.33,0.9,4.33,0.34,162.4,48.3 ,3.36 ,684,5.51,2.54,2.14,CC1=CC(/C=C/C2=CC=C(/C=C(C#N)/C#N)S2)=C(C3=CC=C(C(C=CC(C)=C4)=C4C5(CCCCCCCC)CCCCCCCC)C5=C3)S1,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3sc(C)cc3/C=C/c3ccc(C=C(C#N)C#N)s3)cc21,49,101,685.0590000000021,4
PTTIMBI,S500,2.6,2.6,0.69,7.1,0.53,27.0,12.0 ,2.19 ,665,5.29,3.61,1.54,CC1=CC=C(C2=CC3=C(C(SC(C4=CC=C(C)C5=NC(C)(C)N=C54)=C6)=C6N3C(CCCCCCCC)CCCCCCCC)C=C2)S1,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3ccc(C)s3)ccc2c2sc(-c3ccc(C)c4c3=NC(C)(C)N=4)cc21,47,102,666.0570000000022,5
P1,S19,0.47,0.47,0.82,1.52,0.38,9.5,4.8 ,1.90 ,717,5.7,4.15,1.57,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nonc45)s3)cc21,51,102,718.0490000000021,7
PGFDTBT,S25,2.8,2.8,0.79,6.9,0.51,24.0,10.0 ,2.40 ,778,5.38,3.91,1.79,CC1=CC([Ge](CCCCCCCC)(CCCCCCCC)C2=C3C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)C=C2)=C3C=C1,CCCCCCCC[Ge]1(CCCCCCCC)c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc2-c2ccc(C)cc21,50,102,777.725000000002,6
PF-DTBT,S20,2.67,2.67,1.02,5.12,0.51,15.8,11.3 ,1.40 ,716,5.56,3.47,1.85,CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NSN=C64)S3)C=C2C7(CC(CC)CCCC)CC(CC)CCCC)C7=C1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,50,102,717.1260000000021,6
PSiF-DBT,S358,5.4,5.4,0.9,9.5,0.507,331.8,79.0 ,4.20 ,732,5.39,3.57,1.82,CC1=CC([Si](CCCCCCCC)(CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4)=C2)=C3C=C1,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,50,102,733.2010000000022,6
TPO(CO)(2EH/C1),S226,6.1,6.1,1.05,10.3,0.57,42.4,12.7 ,3.30 ,799,5.41,3.62,1.79,CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=C5C(C(N(C(C)=O)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(C(C)=O)C5=O)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,53,102,800.2150000000019,6
H3,S37,0.25,0.25,0.56,1.16,0.38,147.6,67.1 ,2.20 ,612,5.07,3.04,2.03,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(/C=C/C)S3)C3=C2OCCCCCCCCCCCC,C/C=C/c1cc2c(OCCCCCCCCCCCC)c3sc(C)cc3c(OCCCCCCCCCCCC)c2s1,42,102,613.0300000000027,3
PBDT-BOZ,S346,6.05,6.05,0.887,13.6,0.508,179.8,47.2 ,3.81 ,676,5.34,3.45,1.68,CC1=CC2=C(C(OC(CCCCC)CCCCC)=C(C=C(C3=CC=C(C)C4=NON=C43)S5)C5=C2OC(CCCCC)CCCCC)S1,CCCCCC(CCCCC)Oc1c2cc(-c3ccc(C)c4nonc34)sc2c(OC(CCCCC)CCCCC)c2cc(C)sc12,47,103,677.0330000000023,5
PCDTPX,S18,0.8,0.8,0.85,1.4,0.6,6.0,4.5 ,1.33 ,716,5.55,3.93,1.67,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nonc45)s3)cc21,51,103,717.0610000000022,7
PCDTPT,S18,0.7,0.7,0.71,2.9,0.32,6.2,4.0 ,1.54 ,732,5.53,3.8,1.75,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nsnc45)s3)cc21,51,103,733.1290000000022,7
PCzTh-TVDCN,S384,2.16,2.16,1.03,5.75,0.365,52.9,13.8 ,3.83 ,699,5.6,3.55,2.05,CC1=CC2=C(C(C=CC(C3=CC(/C=C/C4=CC=C(/C=C(C#N)\C#N)S4)=C(C)S3)=C5)=C5N2C(CCCCCCCC)CCCCCCCC)C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3cc(/C=C/c4ccc(C=C(C#N)C#N)s4)c(C)s3)cc21,50,103,700.0740000000022,5
PBTDN,S125,3.2,3.2,0.83,9.2,0.41,9.9,7.7 ,1.29 ,658,5.12,2.9,2.22,CC1=CC=C(/C=C/C2=CC=C(C3=CC=C4C(C=CC(C)=C4OCCCCCCCCCC)=C3OCCCCCCCCCC)S2)S1,CCCCCCCCCCOc1c(C)ccc2c(OCCCCCCCCCC)c(-c3ccc(/C=C/c4ccc(C)s4)s3)ccc12,46,104,659.0580000000025,4
PCzDBSe,S347,2.58,2.58,0.75,7.23,0.45,17.0,14.0 ,1.21 ,779,5.28,3.55,1.73,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=N[Se]N=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5n[se]nc45)s3)cc21,51,104,779.0340000000023,7
PCDTBT,S17,6.1,6.1,0.88,10.6,0.66,54.0,36.0 ,1.50 ,731,5.5,3.6,1.88,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,51,104,732.1410000000022,7
PCDTQx,S18,1.8,1.8,0.95,3.0,0.56,13.8,9.0 ,1.53 ,715,5.46,3.42,2.02,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nonc45)s3)cc21,51,104,716.0730000000023,7
P2,S19,0.13,0.13,0.66,0.55,0.35,8.9,3.5 ,2.50 ,727,5.73,3.88,1.91,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nccnc45)s3)cc21,52,105,728.0880000000021,7
P2,S239,4.33,4.33,0.93,6.66,0.6,13.4,7.0 ,1.90 ,748,5.33,3.47,1.63,CC1=C(C(C(SC(CCCCCC)=C2)=C2C3=O)=O)C3=C(S1)C4=CC5=C(C(SC(C)=C6)=C6[Si]5(CC(CCCC)CC)CC(CC)CCCC)S4,CCCCCCc1cc2c(s1)C(=O)c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c1C2=O,49,105,749.262000000002,4
H6,S37,1.6,1.6,0.75,3.78,0.56,84.1,46.7 ,1.80 ,668,5.05,2.99,2.06,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)S3)S4)C4=C2OCCCCCCCCCCCC,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,45,105,669.1190000000024,4
PBDTNTDO-2,S386,1.52,1.52,0.88,5.67,0.305,40.1,13.0 ,3.07 ,742,5.19,3.3,1.83,CC1=CC2=C(C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(C(C=C(C(C)(C)C)C=C5)=C5C4=O)=O)=C(C)S3)S6)C6=C2OCC(CCCC)CC)S1,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)c3ccc(C(C)(C)C)cc3C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,51,105,743.113000000002,5
PBTADN,S125,3.4,3.4,0.89,7.4,0.514,65.4,44.8 ,1.46 ,683,5.36,3.34,2.02,CC1=CC=C(/C(C#N)=C/C2=CC=C(C3=CC=C4C(C=CC(C)=C4OCCCCCCCCCC)=C3OCCCCCCCCCC)S2)S1,CCCCCCCCCCOc1c(C)ccc2c(OCCCCCCCCCC)c(-c3ccc(/C=C(\C#N)c4ccc(C)s4)s3)ccc12,48,105,684.0680000000025,4
P(PTQD-2Th),S135,5.67,5.58,0.8,11.82,0.6,38.9,18.5 ,2.10 ,783,5.54,3.8,1.7,CC1=CC(C(C=C(C2=CC=C(C3=CC=C(C)S3)S2)S4)=C4C5=C6N=C7C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C7=O)=O)=N5)=C6S1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2nc3c(nc2C1=O)c1sc(-c2ccc(-c4ccc(C)s4)s2)cc1c1cc(C)sc13,53,106,784.195000000002,6
P-Ge,S310,7.3,7.3,0.85,12.6,0.68,81.6,48.0 ,1.70 ,755,5.6,3.91,1.69,CC1=CC2=C(C(SC(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)=C5)=C5[Ge]2(CC(CCCC)CC)C[C@H](CCCC)CC)S1,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Ge]4(CC(CC)CCCC)C[C@@H](CC)CCCC)c2C1=O,47,106,754.7280000000021,3
PDTSTPD,S36,7.3,7.3,0.88,12.2,0.68,44.8,28.0 ,1.60 ,709,5.57,3.88,1.69,CC1=C2C(C(N(CCCCCCCC)C2=O)=O)=C(C3=CC([Si](CC(CCCC)CC)(CC(CCCC)CC)C4=C5SC(C)=C4)=C5S3)S1,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,47,106,710.2040000000022,3
PBTCT,S236,1.13,1.13,0.62,3.39,0.53,28.0,13.3 ,2.10 ,740,5.25,2.75,2.18,CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(CC(C(OCC)=O)(C(OCC)=O)C4)=C(C)S3)S5)C5=C2OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3CC(C(=O)OCC)(C(=O)OCC)C4)sc2c(OCC(CC)CCCC)c2cc(C)sc12,50,106,741.0940000000021,4
P2,S369,3.04,3.04,0.8,6.6,0.576,45.9,24.4 ,1.88 ,696,5.33,3.23,2.1,CC1=C(CCCCCC)C(CCCCCC)=C(C2=NN=C(C3=C(CCCCCC)C(CCCCCC)=C(C4=CC=C(C)S4)S3)S2)S1,CCCCCCc1c(C)sc(-c2nnc(-c3sc(-c4ccc(C)s4)c(CCCCCC)c3CCCCCC)s2)c1CCCCCC,46,106,697.2020000000025,4
PCDTTPP,S18,1.1,1.1,0.9,2.6,0.44,18.7,11.0 ,1.70 ,726,5.52,3.67,1.89,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nccnc45)s3)cc21,52,106,727.1000000000022,7
P1,S369,0.28,0.28,0.81,0.713,0.498,26.8,18.5 ,1.45 ,680,5.55,3.26,2.29,CC1=C(CCCCCC)C(CCCCCC)=C(C2=NN=C(C3=C(CCCCCC)C(CCCCCC)=C(C4=CC=C(C)S4)S3)O2)S1,CCCCCCc1c(C)sc(-c2nnc(-c3sc(-c4ccc(C)s4)c(CCCCCC)c3CCCCCC)o2)c1CCCCCC,46,106,681.1340000000025,4
PSBTSPD-C8 (P9),S134,7.13,7.03,0.85,13.17,0.64,45.0,29.0 ,1.60 ,757,5.55,3.82,1.68,CC1=C2C(C(N(CCCCCCCC)C2=O)=O)=C(C3=CC4=C(C(SC(C)=C5)=C5[Si]4(CC(CC)CCCC)CC(CC)CCCC)S3)[Se]1,CCCCCCCCN1C(=O)c2c(C)[se]c(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,47,106,757.0970000000021,3
PTPDSi-C8,S308,6.83,6.83,0.885,11.8,0.649,52.2,29.0 ,1.80 ,709,5.52,3.79,1.73,CC1=CC2=C(C(SC(C3=C4C(C(N(CC(CC)CCCC)C4=O)=O)=C(C)S3)=C5)=C5[Si]2(CC(CCCC)CC)C[C@H](CCCC)CC)S1,CCCCC(CC)CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)c2C1=O,47,106,710.2040000000022,3
BDF(2EH/C7),S279,6.6,6.3,0.94,10.8,0.65,26.2,11.0 ,2.40 ,691,5.41,3.44,1.97,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCC)C4=O)=O)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1,CCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5oc(C)cc5c(OCC(CC)CCCC)c4o3)c2C1=O,49,106,691.9750000000024,4
PDTC,S360,3.74,3.74,0.8,10.04,0.47,20.2,16.0 ,1.26 ,693,5.43,3.25,1.67,CC1=CC2=C(C(SC(C3=C(C(N(CCCCCCCC)C4=O)=O)C4=C(C)S3)=C5)=C5C2(CC(CC)CCCC)CC(CCCC)CC)S1,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3C4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,47,106,694.1290000000024,3
P-Si,S310,6.6,6.6,0.89,11.5,0.65,52.7,31.0 ,1.70 ,709,5.65,3.92,1.73,CC1=CC2=C(C(SC(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)=C5)=C5[Si]2(CC(CCCC)CC)C[C@H](CCCC)CC)S1,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)c2C1=O,47,106,710.2040000000022,3
PBDFTT-CF-O,S277,5.22,5.22,0.63,13.87,0.597,14.0,4.7 ,3.00 ,724,4.98,3.18,1.51,CC1=CC2=C(C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(F)=C(C(C(CC)CCCC)=O)S4)=C(C)S3)O5)C5=C2OCC(CCCC)CC)O1,CCCCC(CC)COc1c2cc(-c3sc(C)c4c(F)c(C(=O)C(CC)CCCC)sc34)oc2c(OCC(CC)CCCC)c2cc(C)oc12,50,107,725.0450000000022,5
PtFBTPDTS,S444,2.71,2.67,0.68,6.54,0.6,78.0,20.0 ,3.90 ,822,5.09,3.7,1.39,CC1=CC(C2=C/3C=CC(F)=C2)=C(S1)C3=C(C4=C5C=C(C6=CC([Si](CCCCCCCC)(CCCCCCCC)C7=C8SC(C)=C7)C8S6)S4)/C9=C5C=C(F)C=C9,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2C2SC(c3cc4c(s3)/C(=C3\c5ccc(F)cc5-c5cc(C)sc53)c3ccc(F)cc3-4)=CC21,55,107,823.2940000000019,5
PBDFTT-CF,S276,5.23,5.23,0.63,13.88,0.598,108.7,45.3 ,2.40 ,724,5.11,3.6,1.52,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4F)=C(C)S3)O5)C5=C2OCCCCCCCC)O1,CCCCCCCCOc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)c(F)c34)oc2c(OCCCCCCCC)c2cc(C)oc12,50,107,725.0450000000022,5
PBTIGe-C6,S308,4.77,4.77,0.774,11.96,0.502,78.3,27.0 ,2.90 ,809,5.39,3.64,1.75,CC1=CC2=C(C(SC(C3=CC4=C(C(SC(C)=C5)=C5C(N(CCCCCC)C4=O)=O)S3)=C6)=C6[Ge]2(CC(CCCC)CC)C[C@H](CCCC)CC)S1,CCCCCCn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(s3)-c3sc(C)cc3[Ge]4(CC(CC)CCCC)C[C@@H](CC)CCCC)cc2c1=O,50,107,808.8010000000019,5
PBDFTT-C,S395,4.4,4.4,0.66,10.45,0.638,44.0,21.0 ,2.10 ,706,5.27,3.69,1.48,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1,CCCCC(CC)COc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)oc2c(OCC(CC)CCCC)c2cc(C)oc12,49,107,707.0550000000023,5
PBTTz,S141,1.41,1.41,0.52,4.64,0.58,12.0,10.0 ,1.20 ,725,5.24,3.57,1.73,CC1=C2C(N=C(CCCCCCCC)S2)=C(C3=CC4=C(C(OCC(CCCC)CC)=C(C=C(C)S5)C5=C4OCC(CC)CCCC)S3)S1,CCCCCCCCc1nc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2s1,48,107,726.1960000000025,5
PCDTBX,S18,2.4,2.4,0.96,3.7,0.6,51.2,26.0 ,1.97 ,725,5.47,3.65,1.87,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nccnc45)s3)cc21,52,107,726.1120000000022,7
PBTISi-C6,S308,6.29,6.29,0.825,12.4,0.606,95.7,29.0 ,3.30 ,763,5.45,3.7,1.75,CC1=CC2=C(C(SC(C3=CC4=C(C(SC(C)=C5)=C5C(N(CCCCCC)C4=O)=O)S3)=C6)=C6[Si]2(CC(CCCC)CC)C[C@H](CCCC)CC)S1,CCCCCCn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)cc2c1=O,50,107,764.2770000000021,5
PBDTTT-C,S32,6.58,6.58,0.7,14.7,0.64,30.0,16.7 ,1.80 ,738,5.12,3.55,1.61,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4)=C(C)S3)S5)C5=C2OCC(CC)CCCC)S1,CCCCC(CC)COc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)sc2c(OCC(CC)CCCC)c2cc(C)sc12,49,107,739.1910000000022,5
PBDFTT-C,S276,4.26,4.26,0.54,13.13,0.6,69.2,40.7 ,1.70 ,706,5.03,3.63,1.53,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4)=C(C)S3)O5)C5=C2OCCCCCCCC)O1,CCCCCCCCOc1c2cc(-c3sc(C)c4sc(C(=O)C(CC)CCCC)cc34)oc2c(OCCCCCCCC)c2cc(C)oc12,49,107,707.0550000000023,5
PBDTTT-CF,S5,7.73,7.4,0.76,15.2,0.669,68.0,-,-,756,5.22,3.45,1.65,O=C(CCCCCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)=C2S1,CCCCCCCC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F,50,107,757.1810000000023,5
PBDTTT-C,S187,6.43,6.43,0.7,15.51,0.592,77.7,21.0 ,3.70 ,738,5.07,3.21,1.6,O=C(C(CCCC)CC)C1=CC2=C(C)SC(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)=C2S1,CCCCC(CC)COc1c2cc(-c3sc(C)c4cc(C(=O)C(CC)CCCC)sc34)sc2c(OCC(CC)CCCC)c2cc(C)sc12,49,107,739.1910000000022,5
PDTP,S360,1.69,1.69,0.76,4.69,0.53,13.7,10.6 ,1.29 ,708,5.16,3.08,1.59,CC1=CC2=C(C(SC(C3=C(C(N(CCCCCCCC)C4=O)=O)C4=C(C)S3)=C5)=C5N2C(CC(CC)CCCC)CC(CCCC)CC)S1,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)c3sc(C)cc3n4C(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,48,108,709.1440000000023,4
P1,S273,1.19,1.19,0.83,3.71,0.39,65.1,29.6 ,2.20 ,666,5.39,3.32,2.07,CC(O1)=CC(C1=C(C#CC2=CC=C(CCCCCCCCCC)C=C2)C3=C4OC(C)=C3)=C4C#CC5=CC=C(CCCCCCCCCC)C=C5,CCCCCCCCCCc1ccc(C#Cc2c3cc(C)oc3c(C#Cc3ccc(CCCCCCCCCC)cc3)c3cc(C)oc23)cc1,50,108,666.9900000000025,5
P1,S239,2.18,2.18,0.87,4.75,0.45,39.4,11.5 ,3.43 ,776,5.49,3.53,1.78,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(C(SC(CCCCCC)=C5)=C5C4=O)=O)=C(C)S3)S6)C6=C2OCC(CC)CCCC,CCCCCCc1cc2c(s1)C(=O)c1c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c1C2=O,52,108,777.1960000000022,5
PK,S374,1.11,1.11,0.454,4.82,0.51,13.5,7.5 ,1.80 ,760,4.8,3.49,1.31,CC1=C(SCCCCCCCC)C=C(C2=CC(SCCCCCCCC)=C(C3=C4C(C=C(C(CCCCCCCC)=O)S4)=C(C)S3)S2)S1,CCCCCCCCSc1cc(-c2cc(SCCCCCCCC)c(-c3sc(C)c4cc(C(=O)CCCCCCCC)sc34)s2)sc1C,48,108,761.3320000000025,4
PSB-CPDTO (P2),S202,2.2,2.2,0.89,4.13,0.51,16.8,11.8 ,1.42 ,762,5.41,3.34,1.72,CC1=C(C(SC(C(CCCCCCC)=O)=C2)=C2C3=O)C3=C(C4=CC5=C(C(SC(C)=C6)=C6[Si]5(CC(CC)CCCC)CC(CC)CCCC)S4)S1,CCCCCCCC(=O)c1cc2c(s1)-c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c1C2=O,50,108,763.289000000002,4
PDTSNTDO.,S357,5.21,5.21,0.88,9.24,0.64,16.3,11.7 ,1.39 ,742,5.42,3.46,1.65,CC1=CC([Si](C(CC)CCCCC)(C(CCCCC)CC)C2=C3SC(C4=C5C(C(C(C=C(CCCCCC)C=C6)=C6C5=O)=O)=C(C)S4)=C2)=C3S1,CCCCCCc1ccc2c(c1)C(=O)c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(C(CC)CCCCC)C(CC)CCCCC)c1C2=O,50,108,743.2330000000021,4
